movie_id,country
/m/0hzp0wh,Belgium
/m/09dl0l,Japan
/m/0c1p3,United States of America
/m/05b4ncx,Japan
/m/027z39j,United States of America
/m/04993j,United States of America
/m/03npxc,Hong Kong
/m/03npxc,China
/m/026hfp8,Canada
/m/0gh7g5s,United States of America
/m/0g8p65k,France
/m/04_17wp,United States of America
/m/04j32f2,United States of America
/m/04gng15,United States of America
/m/0gmds_9,Soviet Union
/m/04q31n1,Spain
/m/04q31n1,United Kingdom
/m/0g9v_0p,
/m/0280lhm,United States of America
/m/0gg7w4q,
/m/0dgp_sx,India
/m/064nwxp,United States of America
/m/04j04vq,United States of America
/m/0h09nh,United States of America
/m/0gfdj0w,United States of America
/m/03qh_mj,United States of America
/m/02w6ldz,United States of America
/m/03nt_q7,United States of America
/m/0807778,Canada
/m/0kvgjd,United States of America
/m/04yf0qx,
/m/02r4288,India
/m/0gk_rh_,United States of America
/m/04n5hd2,India
/m/04zz4cy,France
/m/04yg1fk,France
/m/04yg1fk,Belgium
/m/04yg1fk,Israel
/m/04yg1fk,Germany
/m/02pnx7c,India
/m/03cfwb2,United States of America
/m/026vnlf,United States of America
/m/04j03bn,United States of America
/m/05220ql,India
/m/0bdwr5,United States of America
/m/0b13hz,Greece
/m/04yfsw8,United Kingdom
/m/0h39yl,India
/m/05b_rv_,United States of America
/m/05b35lt,Japan
/m/068xdw,United States of America
/m/068xdw,United Kingdom
/m/08zkct,United States of America
/m/027x4qz,United States of America
/m/04ct5bk,United States of America
/m/0gjct08,India
/m/04rq8l,United States of America
/m/04rq8l,United Kingdom
/m/04rq8l,Germany
/m/03qdzcf,United States of America
/m/03qdzcf,France
/m/051w_vb,India
/m/06wmyc,France
/m/06wmyc,United States of America
/m/06wmyc,United Kingdom
/m/03121d,United States of America
/m/03121d,Iraq
/m/0crs5bt,United States of America
/m/0crs5bt,Spain
/m/064qcjv,India
/m/02qwsng,India
/m/06w7l0s,India
/m/0g9wdmc,France
/m/0g9wdmc,United Kingdom
/m/04jkvq7,
/m/02ptq_6,United States of America
/m/0cs0w8k,United States of America
/m/0cs0w8k,Italy
/m/0cs0w8k,Egypt
/m/0bs1p_v,India
/m/07kwyt,United States of America
/m/0bb_jr,United Kingdom
/m/069dl1,United States of America
/m/06_yckp,Argentina
/m/0bmh28z,India
/m/0bmh28z,Canada
/m/026mh5j,United States of America
/m/0cp13g0,Czechoslovakia
/m/0287gvq,United Kingdom
/m/0g58r53,
/m/0g9ypwc,United Kingdom
/m/0hhs6yp,Republic of Macedonia
/m/0hrbdng,
/m/0dgj9m,
/m/045hxr,India
/m/0kv2ly,United States of America
/m/0gkjmf,United States of America
/m/0b6qmv,United States of America
/m/0b6qmv,Germany
/m/0b5vsy,Soviet Union
/m/0b5vsy,Russia
/m/04068_w,United States of America
/m/0h80x5,United States of America
/m/04f1k_q,
/m/0bdgm4,
/m/03_m_1,United States of America
/m/0c01jp5,Yugoslavia
/m/03m6vb2,Brazil
/m/04xzt0,United States of America
/m/04xzt0,Ireland
/m/04xzt0,United Kingdom
/m/04xzt0,Germany
/m/0hr535b,
/m/05zmg39,Netherlands
/m/0b6qmg,South Korea
/m/04j0z21,Italy
/m/04j0z21,Australia
/m/0h3pq8x,Portugal
/m/07s5qhf,India
/m/05jyrf,United States of America
/m/0bmjlqc,United States of America
/m/026ktnx,United States of America
/m/05szq8z,United States of America
/m/05szq8z,United Kingdom
/m/02py6p6,Argentina
/m/05sxb6,United States of America
/m/06_yck7,Argentina
/m/034f7w,United States of America
/m/0h3r5f3,
/m/09v3b9w,Japan
/m/0fph2t0,Canada
/m/0h18g1b,India
/m/0ff79r,United States of America
/m/04ygt38,United States of America
/m/0kv804,
/m/060__7,United States of America
/m/02801ry,United States of America
/m/0b77n5c,India
/m/04zxcwj,United Kingdom
/m/0gfp88,United States of America
/m/0b6qm3,United Kingdom
/m/0dhh3h,United States of America
/m/0dhh3h,United Kingdom
/m/067rlq,Soviet Union
/m/0bmf535,
/m/0k0qd6w,India
/m/0kv2l4,United States of America
/m/03cy3md,Hong Kong
/m/03cy3md,Taiwan
/m/02q550m,Hungary
/m/02q550m,Soviet Union
/m/0dvdlf,Egypt
/m/02991z,United States of America
/m/02zblr6,Italy
/m/09thsq,United States of America
/m/071y5q,United States of America
/m/071y5q,Ireland
/m/02rl3k7,Japan
/m/02rl3k7,South Korea
/m/04f_27g,Italy
/m/0h3skpq,
/m/040280,United States of America
/m/040280,Canada
/m/0dsb9n0,Japan
/m/0c02d3k,France
/m/02vz0y9,Italy
/m/02vz0y9,Republic of Macedonia
/m/02pr22c,Spain
/m/02pr22c,Italy
/m/07s52n0,United States of America
/m/07s52n0,United Kingdom
/m/07s4t6f,United Kingdom
/m/0gdt5f,United States of America
/m/04gq9wm,Germany
/m/04q257s,United Kingdom
/m/0c3tkft,United States of America
/m/04jcb4k,United Kingdom
/m/0h1cbks,India
/m/02rdwrv,Italy
/m/04mw1fm,France
/m/04mw1fm,Lebanon
/m/04mw1fm,Iran
/m/0g7889,India
/m/0j24jlc,United States of America
/m/03gtyp3,United States of America
/m/03gtyp3,Canada
/m/045rsk,United States of America
/m/03cg5q2,United States of America
/m/02vzx00,
/m/0g8bhz,Australia
/m/0gzfhh,United States of America
/m/0kv3jx,United States of America
/m/0kv3jx,Spain
/m/064q4vh,United States of America
/m/02wywht,United States of America
/m/06zsxx8,United States of America
/m/0j3g2jk,France
/m/0j3g2jk,Italy
/m/05b268g,India
/m/0h66h0p,United States of America
/m/02r4xq0,India
/m/0cc9sj1,India
/m/02pwbyx,United Kingdom
/m/0b6msm0,United States of America
/m/0b6msm0,Canada
/m/05b_726,India
/m/0h74xd,England
/m/0h74xd,United Kingdom
/m/0dd9ljf,France
/m/0dd9ljf,Italy
/m/0h94_ry,India
/m/026474r,United States of America
/m/05c3q8c,United States of America
/m/0h0ylf,Philippines
/m/0cwvf3,United States of America
/m/0cwvf3,United Kingdom
/m/05zptkl,Ireland
/m/05zptkl,United Kingdom
/m/0652hq,West Germany
/m/0652hq,Germany
/m/0cz9fqw,Hungary
/m/027xs8k,United States of America
/m/051_7dt,United States of America
/m/0hzm_x1,
/m/05fbcvt,Italy
/m/07l50_1,United States of America
/m/0crh665,United States of America
/m/0gjdp3n,United Kingdom
/m/04gt36q,United States of America
/m/0gtx9zh,
/m/09v4kv1,United States of America
/m/05sz3w0,United States of America
/m/0jt0y_r,Philippines
/m/03hh8c4,United States of America
/m/02rf6q4,United States of America
/m/0kv3j3,United States of America
/m/058q8s,United States of America
/m/0hrb264,
/m/03cg5qs,United States of America
/m/02qms_7,India
/m/0dlmyyq,United Kingdom
/m/0dn17z,United States of America
/m/0jws9y2,Egypt
/m/0h1gv84,
/m/0c9jj9,United States of America
/m/0by1xrt,France
/m/0b6jx5_,United States of America
/m/0b6jx5_,Spain
/m/0b6jx5_,Italy
/m/07kgp1w,United States of America
/m/02ps1lg,
/m/0fq0dd3,Hungary
/m/03gvzxy,United States of America
/m/0kvb07,Bosnia and Herzegovina
/m/0j27v4j,India
/m/0hgpxb3,
/m/027hx6p,United States of America
/m/0j45c3h,Australia
/m/047n81_,United States of America
/m/026h68f,India
/m/09v5fbh,Japan
/m/03c0vqz,Poland
/m/0288l_g,
/m/0281l5m,Belgium
/m/0281l5m,Italy
/m/0cnx71t,
/m/0h_dhx4,United States of America
/m/07k4ypc,United States of America
/m/0ds8rrl,
/m/0crfd83,Croatia
/m/0gx0nrh,United Kingdom
/m/02q35ds,United Kingdom
/m/05zr62d,Netherlands
/m/0287pm9,United States of America
/m/0f3xhp,Canada
/m/09g68dr,United States of America
/m/09gj_hn,United States of America
/m/0gg8f4l,Mexico
/m/04d2jm,Hong Kong
/m/05sxl0x,Greece
/m/04jjktx,France
/m/04jjktx,United States of America
/m/02x46vd,United States of America
/m/0hzr9h0,United States of America
/m/0hzr9h0,United Kingdom
/m/0520dkz,United States of America
/m/0crzp9h,Turkey
/m/043py3c,United States of America
/m/02r4bg6,Israel
/m/07kd77x,United States of America
/m/02pw05g,India
/m/0crdc2c,United States of America
/m/0fbrd7,United States of America
/m/0cdnkz,Hungary
/m/05wd_0,United States of America
/m/02806zq,Egypt
/m/0fpggm1,
/m/0bbd8tp,United States of America
/m/06_ybc3,Argentina
/m/051zsnx,United States of America
/m/03np63f,United Kingdom
/m/0czdh1j,United Kingdom
/m/0gj8gbn,
/m/047b7yb,Japan
/m/07mlsy,United States of America
/m/03gtxrx,United States of America
/m/04ld_ch,United Kingdom
/m/02q05ty,Japan
/m/0h5576w,
/m/051_4zf,United Kingdom
/m/041620c,United States of America
/m/026q_s8,United States of America
/m/03m5fv7,United Kingdom
/m/0464hw5,Japan
/m/04q6ps8,United States of America
/m/0h805gn,India
/m/026_5m2,United States of America
/m/03dwzc,United Kingdom
/m/0j663ps,Germany
/m/0hgn46t,
/m/047th9v,Spain
/m/0dgp3km,India
/m/06_ybcj,Argentina
/m/064w9b,
/m/023p33,United States of America
/m/0ds35pq,
/m/04jf8mw,United Kingdom
/m/04q8x2d,Malaysia
/m/0gh6hbl,Canada
/m/0gh6hbl,United Kingdom
/m/07ykkx5,United States of America
/m/04jr3z,United States of America
/m/06_ybcx,Argentina
/m/03cgcph,United States of America
/m/03nsc64,United States of America
/m/04g0krd,United States of America
/m/09gp46z,United Kingdom
/m/0273d78,India
/m/03rpzz,United States of America
/m/026607l,United States of America
/m/0ckr_w,United States of America
/m/06w658c,United States of America
/m/06w658c,Austria
/m/02x8n08,Australia
/m/02x8n08,New Zealand
/m/0bpnbl,Canada
/m/026f_k5,United States of America
/m/08wf8d,United States of America
/m/0djsk0,India
/m/0bs1_hx,
/m/05t022w,Australia
/m/0j26pb_,Bosnia and Herzegovina
/m/0cq7kw,United States of America
/m/06nmwj,United States of America
/m/0dm9b7,United States of America
/m/0gtxz05,
/m/043qglw,Czech Republic
/m/0h1hpq0,
/m/025z5dw,United States of America
/m/0j637s9,Uzbekistan
